,name,age,height,short-age
642,Ian Hart,61,5ft 7,False
643,Josh Hartnett,47,6ft 2,False
644,David Hasselhoff,73,6ft 4,False
645,Robert Hays,78,6ft 0,False
646,Tippi Hedren,95,5ft 4,False
647,Katherine Heigl,47,5ft 8,False
648,Marg Helgenberger,67,5ft 5,False
649,Carrie Henn,49,5ft 6,False
650,Barbara Hershey,77,5ft 4,False
651,Jennifer Love Hewitt,46,5ft 2,False
652,Terence Hill,86,5ft 11,False
653,Hulk Hogan,72,6ft 5,False
654,Paul Hogan,86,5ft 8,False
655,Jane Horrocks,61,5ft 2,False
656,C. Thomas Howell,59,5ft 10,False
657,Ernie Hudson,80,6ft 0,False
658,Finola Hughes,66,5ft 4,False
659,Tom Hulce,72,5ft 7,False
660,Bonnie Hunt,64,5ft 6,False
661,Linda Hunt,80,4ft 9,False
662,Isabelle Huppert,72,5ft 2,False
663,Eric Idle,82,6ft,False
664,Natalie Imbruglia,50,5ft 3,False
665,Kathy Ireland,62,5ft 10,False
666,Amy Irving,72,5ft 4,False
667,Janet Jackson,59,5ft 3,False
668,Derek Jacobi,87,5ft 9,False
669,Mick Jagger,82,5ft 10,False
670,Jenna Jameson,51,5ft 3,False
671,Michelle Johnson,60,5ft 9,False
672,Angelina Jolie,50,5ft 6,False
673,Carol Kane,73,5ft 2,False
674,Mitzi Kapture,63,5ft 4,False
675,Julie Kavner,75,5ft 7,False
